958,0,2,2,0,4,10,2,2,0
0,1109,2,2,0,2,4,2,14,0
7,8,924,14,8,4,14,10,37,6
3,1,24,910,0,31,2,11,20,8
1,2,5,1,907,0,12,4,9,41
10,2,4,30,8,779,17,6,29,7
11,3,5,1,9,11,912,3,3,0
2,7,24,7,6,1,0,946,2,33
8,6,7,22,9,28,10,10,867,7
11,7,2,10,26,7,0,28,7,911
